id,contestant,target,time,comment,to camera
,RuPaul,Jinkx Monsoon,11:57,"Well, the judges have challneged you to be a little bit more, you know, modern. Contemporary. ",
,Detox,self,12:10,I'm so in love with acid green. ,
,Detox,self,,And I really want to do some reptilian-looking...funk,
,Detox,self,,I see it in my head. ,
,Jinkx Monsoon,Detox,12:20,Detox's concept right now is more based on a color. ,Y
,Jinkx Monsoon,Detox,12:23,I'm not seeing the candy inspiration in it. ,Y
,,,,I'm just trying to play it all by ear. ,
,RuPaul,Detox,12:29,"Well now, looking around the room it looks like you're a little bit behind",
,RuPaul,Detox,12:34,"Now, last week you were in the bottom two. ",
,Detox,self,12:35,I know,
,RuPaul,Detox,12:36,"And there's a certain expectation that um, really just hasn't been met. ",
,RuPaul,Detox,,I don't know what to say about that,
,Detox,self,12:42,I don't either honestly ,
,RuPaul,Detox,12:44,Are you passionate about becoming America's next drag superstar? ,
,Detox,self,12:51,It's kinda like a slap in the face,Y
,Detox,self,12:53:00,Of course I wanna be America's next drag superstar. ,
,Detox,self,,That's what I want. ,
,Detox,self,,That's something that I've always wanted. ,
,Roxxy Andrews,,13:11,"It's gonna be a fight till the end, baby",
,Roxxy Andrews,self,13:14,"My candy couture, I'm going very extravagant. Very extravaganza",
,RuPaul,Roxxy Andrews,13:17,Now how's your body-ody-ody gonna play into this outfit? ,
,Roxxy Andrews,self,13:21,"Well, it's a corset so I kinda brought it up over here so you can still get a shape on that side",
,Roxxy Andrews,self,13:25,A good silhouette,
,RuPaul,Roxxy Andrews,13:27,Uh-huh,
,RuPaul,Roxxy Andrews,13:28,"Well, just you know make sure it flatters your figure and that, you know, you can serve true Roxxy Andrews.",
,Roxxy Andrews,RuPaul,13:37,Ru's looking at me funny.,
,Roxxy Andrews,RuPaul,13:38,And I'm not sure he likes what I'm doing. ,
,RuPaul,Roxxy Andrews,13:41,"Yeah, yeah. Wow",
,Roxxy Andrews,self,13:42,Now what am I gonna do? ,
,RuPaul,Roxxy Andrews,13:44,You better bring some hard Roxxy candy on the runway. ,
,,,,,
,Alaska,self,14:45,"Oh, God. ",
,Roxxy Andrews,Alaska,14:50,Alaska's got about this much rhythm. ,Y
,Roxxy Andrews,Alaska,14:51,So this is gonna be a hot fucking shitty mess. ,
,RuPaul,all,14:54,"I expect to see sugar and spice, and everything nice. Don't fuck it up. ",
,,,,,
,Detox,Roxxy,15:06,"After Ru's walkthrough, I look over, and Roxxy's look is completely gone",Y
,Roxxy Andrews,RuPaul,15:10,"Ru said something about my silhouette, so at this point in the game if she's saying something it's for a reason. ",Y
,Roxxy Andrews,self,15:16,I'm starting back at square one. ,Y
,Roxxy Andrews,self,15:18,I'm going with this licorice. It looks like spaghetti. ,Y
,Roxxy Andrews,self,15:22,"This licorice is so thin, but I'm putting on there one at a time.",Y
,Roxxy Andrews,self,15:26,"It's tedious. So this much time, this much work. ",Y
,,,,,
,Roxxy Andrews,Jinkx Monsoon,15:44,"Jinkx, Really?",Y
,Roxxy Andrews,self,15:45,I'm stressed right now. ,Y
,Roxxy Andrews,self,15:46,I have a lot to get done. ,Y
,Roxxy Andrews,Jinkx Monsoon,15:48,"Like girl, can you please stop banging!",Y
,Detox,Jinkx Monsoon,15:53,"Jinkx and the hammer is driving me berserk, and I've fucking had it. ",Y
,Jinkx Monsoon,self,16:47,This musical number is right up my alley. ,Y
,Jinkx Monsoon,self,16:48,This is me in my element. ,Y
,Alaska,self,16:50,I'm no Alyssa Edwards when it comes to choreography. ,
,Detox,Alaska,16:53,You're not a choreographer to the stars? ,
,Alaska,self,16:54,I'm not...,
,Detox,Alaska,17:01,You want us to enter and go where? ,
,Detox,Alaska,17:04,And how do you want us to enter? ,
,Detox,Alaska,17:05,"We all know Alaska is not the best dancer, so we don't know what's gonna happen. ",Y
