id,contestant,target,timestamp,comment,context,episode arc,grouping
23,Vivian Pinay,self,5:08,"""Vivian is all about glamour. My beauty is everything.""",confessional,introduction,
24,jade jolie,vivian pinay,5:13,"""vivian's cute... but I'm cuter""",confessional,introduction,
25,alaska,self,5:35,"""I also have a very famous boyfriend, whose name is Sharon Needles.""",confessional,introduction,
26,roxxxy andrews,alaska,5:47,"""this trashbag couture is definitely something else.""",in situ,introduction,
27,alaska,roxxxy andrews,5:49,"""ah, yes, it's a plastic tablecloth""",in situ,introduction,
28,roxxxy andrews,alaska,5:51,:grimace:,in situ,introduction,
29,alyssa edwards,alaska,5:52,"""alaska definitely has big shoes to fill""",confessional,introduction,
,detox,honey mahogany,6:14,"""honey mahogany is like a ru paul poster... but not quite as polished. sorry about it~! :)""",confessional,introduction,
,honey mahogany,general,6:16,"""I think I'm the first queen from San Francisco, actually.""",in situ,introduction,
,unknown,honey mahogany,6:19,"""hello, hippy!""",in situ,introduction,
,honey mahogany,self,3:46,"""People get down on San Francisco for being a bunch of hippies, but there's so much beauty there. Have you seen Honey Mahogany?""",confessional,introduction,
,serena ChaCha,ivy winters,6:40,"""Your top is awesome, so well tailored.""",in situ,introduction,
,ivy winters,serena ChaCha,6:41,"""thank you""",in situ,introduction,
,ivy winters,self,6:42,"""I make costumes out of casette tape, paper cups, condoms. I will figure out a way to turn it into a costume.""",confessional,introduction,
,ivy winters,general,6:50,"""and I used to work as a clown for like eight years.""",in situ,introduction,
,detox,ivy winters,6:51,"""you still do.""",in situ,introduction,
,Monica Beverly Hillz,self,7:04,"""Monica Beverly Hillz is very good at giving face.""",confessional,introduction,
,Monica Beverly Hillz,general,7:07,"""This might be the fishiest season ever, darlings.""",in situ,introduction,
,Monica Beverly Hillz,self,7:09,"""I have. been called ghetto, banjee, trashy... I was raised in the ghetto, you know. I'm very street smart, and there's nothing wrong with that.""",confessional,introduction,
,Lineysha Sparx,self,7:25,"""Lineysha is so fierce, so flawless, so sparkling.""",confessional,introduction,
,Lineysha Sparx,general,7:29,"""I'm very excited to be here, representing Puerto Rico.",in situ,introduction,
,general,Lineysha Sparx,7:33,"""yeah!""",in situ,introduction,
,alyssa edwards,coco montrese,7:57,"""and then walks in Coco Montrese. The face crack of the century.""",confessional,introduction,
,coco montrese,alyssa edwards,8:08,"""alyssa edwards. what the fuck.""",confessional,introduction,
,coco montrese,alyssa edwards,,"""oh, alyssa edwards, again.""",in situ,introduction,
,alyssa edwards,coco montrese,,"""we haven't spoke in two years. The pageant tore our friendship apart.""",confessional,introduction,
,coco montrese,alyssa edwards,,"""we were close. and I feel like I was bamboozled.""",confessional,introduction,
,alyssa edwards,coco montrese,,,,,
,coco montrese,alyssa edwards,,"""I don't think she wants to talk about. But I want to talk about it. If she doesn't get sent home first.""",,,
,alyssa edwards,coco montrese,,"""game on, bitch. the sequel.""",,,
,Lineysha Sparx,,10:50ish,"wow, i feel so excited, it's one hundred thousand of dollars. and i want to win that money.",confessional,,
,jade jolie,,11:20ish,it's time for our first photoshoot. I am eager to see what the challenge is and i am super nervous.,confessional,,
,jade jolie,,11:50,"oh my gosh, talk about the elephant in the room, didn't see that",in situ,first challenge,
,jade jolie,,12:35ish,i was giving helen keller drowning realness.,confessional,,
,serena ChaCha,,13:37,"the fuck was that about, guys",in situ,,
,alyssa edwards,,,"it's not your quinceanera anymore, is it?",in situ,,
,?,,,your quinceanera is ruined!,in situ,,
,serena ChaCha,,,i'm not tucked!,in situ,,
,alyssa edwards,,,"oh, you didn't tuck?!",in situ,,
,,,,"no, I didn't tuck at all. no, the dress was doing this [waves dress] the whole time",in situ,,
,,,,"so, all your bubblegum and everything...",in situ,,
,,,,"so you thought you were being cute today by being comfortable with your non-tuck, and ????? together...",in situ,,
,,,,i'm not a fan of girls who don't tuck -- look like a woman. it's female impersonation at the end of the day.,confessional,,
,jinx monsoon,,,"i don't know how to swim. i learned how to swim by one of my uncles pushing me off a log, into a river.",confessional,,
,,,,"first time under the water, I lost both of my contacts. i was blinded within seconds.",confessional,,
,,,,that was terrible!,,,
,,,,"i can't believe it, i'm in shock",,,
,,,,i've completely blown up. i don't know what to do,,,
